Group,ANGPT1,ANGPT2,ANKRD22,BCL6,C1QC,CA4,CALCA,CCL5,CD177,CKAP4,CXCL10,FAS,FLT1,HK3,HP,ICAM1,LAG3,PADI4,PF4,PGLYRP1,PLBD1,RGL4,S100A12,SLC2A3,TNFAIP6,TNFRSF1B,TREM1
nCM,2.999398894,3.362066631,2.954700888,2.86750585,2.826893217,2.966354964,2.826893217,2.954700888,2.985266985,2.954700888,3.127059133,3.140250558,3.107546696,2.86750585,2.753481709,3.039271215,2.86750585,3.497766655,2.826893217,2.974315503,2.891040103,2.91268352,2.974315503,3.162818834,3.030147015,2.985266985,2.999398894
nCM,2.85124491,2.803346472,3.047869568,2.966354964,2.966354964,2.985266985,3.173883709,2.929910736,3.047869568,2.966354964,3.107546696,2.999398894,3.116464208,2.91268352,2.966354964,3.107546696,2.985266985,3.162818834,3.140250558,2.91268352,2.91268352,2.966354964,2.985266985,3.116464208,3.055181907,2.826893217,3.140250558
CM,3.062354939,3.062354939,3.311906666,3.140250558,3.047869568,3.150158291,3.079725871,3.0199089,3.087967915,3.140250558,3.19692107,3.055181907,2.985266985,3.107546696,3.311906666,3.087967915,3.140250558,6.462395419,3.087967915,3.173883709,3.150158291,3.127059133,3.107546696,3.481484768,3.173883709,3.079725871,2.826893217
CM,3.079725871,3.107546696,2.85124491,3.0199089,3.039271215,2.85124491,2.891040103,3.334993043,2.929910736,2.945016611,3.098018646,3.047869568,2.826893217,3.0199089,3.009981347,3.079725871,3.030147015,3.19692107,3.030147015,3.009981347,3.0199089,2.945016611,2.91268352,3.030147015,2.974315503,2.891040103,2.985266985
CM,3.071690095,2.974315503,2.891040103,2.974315503,3.311906666,2.974315503,2.91268352,3.173883709,3.0199089,3.039271215,2.891040103,3.062354939,2.954700888,3.062354939,3.0199089,3.030147015,3.098018646,3.562458224,2.891040103,3.162818834,3.127059133,3.039271215,2.929910736,3.150158291,3.087967915,3.071690095,2.974315503
CM,3.140250558,3.116464208,3.162818834,3.079725871,3.19692107,3.458534261,2.974315503,3.055181907,3.150158291,3.311906666,2.680289078,2.85124491,3.173883709,3.098018646,3.116464208,2.954700888,3.150158291,6.263900089,2.974315503,3.434214661,3.107546696,3.150158291,3.116464208,3.562458224,3.458534261,3.519171044,2.929910736
CM,3.030147015,2.86750585,3.150158291,3.334993043,3.391624928,3.107546696,3.030147015,3.098018646,3.127059133,3.162818834,3.116464208,3.079725871,2.91268352,3.162818834,2.999398894,2.929910736,3.311906666,5.725209121,2.945016611,3.030147015,3.19692107,3.098018646,3.071690095,3.585871812,3.362066631,3.609583729,3.087967915
CM,3.098018646,2.91268352,3.140250558,3.150158291,3.079725871,3.140250558,3.098018646,2.753481709,3.079725871,3.092993281,3.140250558,3.150158291,2.974315503,3.087967915,3.140250558,3.173883709,2.91268352,3.549357172,3.079725871,3.107546696,3.047869568,3.055181907,3.127059133,3.434214661,3.549357172,3.116464208,3.150158291
nCM,3.19692107,3.039271215,3.062354939,3.162818834,2.929910736,3.481484768,3.19692107,3.030147015,3.098018646,3.585871812,2.974315503,3.107546696,3.039271215,3.127059133,3.334993043,3.162818834,2.945016611,6.896466985,2.999398894,3.418913901,3.162818834,3.334993043,3.162818834,3.672615329,3.534887041,3.549357172,3.071690095
CM,2.826893217,2.966354964,3.672615329,3.534887041,2.753481709,2.999398894,3.039271215,2.680289078,3.107546696,3.458534261,3.334993043,3.173883709,3.062354939,3.055181907,3.162818834,3.19692107,3.009981347,3.311906666,2.86750585,3.0199089,3.062354939,3.047869568,3.145204424,3.497766655,3.672615329,3.107546696,3.079725871
nCM,3.087967915,3.079725871,2.680289078,2.803346472,2.803346472,2.91268352,3.071690095,2.826893217,2.86750585,2.680289078,2.753481709,2.680289078,3.150158291,2.753481709,2.680289078,2.891040103,2.826893217,2.966354964,3.047869568,2.680289078,2.680289078,2.929910736,2.753481709,2.966354964,2.803346472,2.680289078,2.803346472
CM,3.162818834,3.140250558,3.087967915,3.362066631,3.062354939,3.098018646,3.062354939,2.999398894,3.039271215,3.497766655,3.150158291,3.116464208,3.055181907,3.311906666,3.062354939,3.140250558,2.929910736,6.669919696,3.071690095,3.334993043,3.087967915,3.162818834,3.0199089,3.519171044,3.585871812,2.929910736,3.062354939
nCM,3.334993043,3.311906666,3.107546696,2.999398894,3.030147015,3.039271215,2.680289078,2.91268352,3.055181907,2.999398894,3.071690095,2.891040103,2.999398894,2.966354964,3.127059133,2.86750585,2.85124491,3.434214661,3.150158291,3.098018646,2.985266985,3.009981347,3.087967915,3.362066631,3.150158291,2.966354964,3.116464208
CM,3.116464208,3.19692107,3.549357172,3.391624928,3.087967915,3.434214661,2.985266985,3.116464208,2.945016611,3.362066631,2.803346472,2.826893217,2.966354964,3.173883709,3.173883709,2.85124491,2.954700888,6.770987376,3.19692107,3.391624928,3.173883709,3.173883709,3.145204424,3.609583729,3.609583729,3.574165018,2.945016611
nCM,2.966354964,3.0199089,3.116464208,3.071690095,3.098018646,3.162818834,2.86750585,3.039271215,3.311906666,3.150158291,3.0199089,3.087967915,3.098018646,3.030147015,3.098018646,3.116464208,3.047869568,3.672615329,2.680289078,3.055181907,3.079725871,3.079725871,3.062354939,3.418913901,3.107546696,3.334993043,3.098018646
CM,3.173883709,2.826893217,3.127059133,3.173883709,3.116464208,3.173883709,3.140250558,2.803346472,3.116464208,3.047869568,3.055181907,3.039271215,2.86750585,3.071690095,3.107546696,2.974315503,3.079725871,3.140250558,2.985266985,3.039271215,2.954700888,3.062354939,3.19692107,3.334993043,3.19692107,3.162818834,3.162818834
nCM,3.127059133,2.999398894,3.055181907,3.098018646,3.173883709,3.497766655,2.999398894,3.079725871,3.19692107,3.092993281,2.85124491,3.127059133,3.079725871,3.140250558,3.071690095,2.999398894,3.173883709,3.534887041,3.0199089,3.087967915,3.140250558,3.071690095,3.039271215,3.542122107,3.062354939,3.574165018,2.85124491
nCM,3.039271215,3.162818834,3.19692107,3.087967915,3.150158291,3.362066631,3.107546696,2.985266985,3.162818834,3.19692107,2.985266985,3.162818834,3.162818834,3.150158291,3.079725871,2.945016611,3.116464208,3.609583729,3.039271215,3.116464208,3.098018646,3.140250558,3.047869568,3.542122107,3.116464208,3.672615329,3.107546696
CM,2.974315503,3.055181907,3.039271215,3.043570391,3.107546696,3.19692107,2.966354964,3.127059133,3.140250558,3.0199089,3.039271215,2.753481709,3.087967915,3.009981347,3.039271215,2.803346472,3.162818834,3.418913901,2.91268352,3.140250558,3.030147015,3.116464208,3.173883709,3.107546696,3.127059133,3.0199089,2.86750585
CM,3.009981347,3.009981347,2.945016611,3.043570391,3.0199089,2.803346472,2.85124491,2.86750585,2.966354964,2.753481709,3.062354939,3.030147015,2.680289078,2.945016611,2.826893217,3.047869568,2.753481709,3.062354939,2.753481709,2.803346472,2.999398894,2.680289078,2.966354964,3.055181907,2.954700888,3.140250558,3.047869568
CM,3.0199089,3.127059133,3.458534261,2.985266985,2.974315503,3.047869568,3.150158291,2.85124491,3.173883709,3.127059133,3.362066631,2.974315503,3.071690095,3.039271215,3.087967915,3.127059133,3.039271215,3.391624928,3.062354939,3.071690095,3.039271215,2.999398894,3.030147015,3.127059133,3.481484768,2.945016611,3.173883709
CM,2.753481709,3.334993043,2.86750585,3.009981347,3.127059133,3.391624928,3.127059133,3.062354939,2.91268352,3.107546696,3.079725871,3.009981347,2.85124491,3.079725871,2.974315503,2.985266985,3.055181907,6.088406277,3.098018646,2.985266985,3.116464208,3.107546696,3.098018646,3.19692107,3.009981347,3.405269415,2.966354964
CM,2.891040103,3.150158291,2.999398894,3.062354939,2.999398894,3.062354939,2.929910736,3.162818834,3.062354939,2.929910736,2.945016611,3.0199089,2.929910736,2.974315503,3.030147015,3.098018646,3.127059133,3.173883709,3.055181907,2.85124491,2.945016611,3.0199089,3.055181907,3.140250558,2.86750585,3.039271215,3.039271215
CM,2.803346472,5.725209121,2.985266985,3.434214661,3.549357172,3.562458224,3.311906666,3.562458224,3.609583729,3.549357172,3.458534261,3.418913901,3.434214661,3.534887041,3.497766655,3.418913901,3.585871812,3.107546696,3.562458224,3.519171044,3.585871812,3.534887041,3.609583729,2.891040103,3.418913901,3.098018646,3.534887041
CM,3.418913901,3.497766655,3.609583729,3.672615329,3.497766655,3.672615329,3.391624928,3.19692107,3.672615329,3.672615329,3.481484768,3.672615329,3.481484768,3.609583729,3.672615329,3.481484768,3.497766655,3.585871812,3.585871812,3.609583729,3.672615329,3.672615329,3.672615329,3.087967915,3.562458224,2.753481709,3.458534261
CM,3.519171044,6.669919696,3.534887041,3.116464208,3.519171044,3.609583729,2.753481709,3.434214661,3.585871812,3.519171044,3.418913901,3.497766655,5.725209121,3.434214661,3.534887041,3.497766655,3.609583729,3.116464208,3.497766655,3.585871812,3.458534261,3.585871812,3.562458224,2.999398894,3.497766655,3.150158291,3.519171044
CM,3.391624928,6.896466985,3.418913901,3.107546696,3.458534261,3.519171044,3.434214661,3.458534261,3.562458224,3.562458224,3.497766655,3.481484768,3.534887041,3.418913901,3.549357172,3.311906666,3.458534261,3.079725871,3.334993043,3.562458224,3.519171044,3.562458224,3.481484768,2.85124491,3.079725871,2.954700888,3.391624928
CM,3.458534261,3.458534261,3.497766655,3.481484768,3.672615329,3.534887041,3.418913901,3.534887041,3.549357172,3.116464208,3.585871812,3.609583729,3.549357172,3.19692107,3.519171044,3.458534261,3.672615329,3.071690095,3.391624928,3.534887041,3.534887041,3.609583729,3.549357172,2.974315503,3.391624928,2.803346472,3.481484768
CM,3.549357172,3.562458224,3.079725871,2.826893217,3.585871812,3.585871812,5.725209121,3.549357172,3.519171044,3.418913901,3.562458224,3.311906666,3.418913901,3.458534261,3.609583729,3.391624928,5.725209121,2.954700888,3.534887041,3.672615329,3.481484768,3.519171044,3.497766655,2.680289078,3.039271215,3.127059133,3.434214661
nCM,3.609583729,6.462395419,3.362066631,3.519171044,3.609583729,3.116464208,3.534887041,3.391624928,3.418913901,3.334993043,3.534887041,3.334993043,3.311906666,3.562458224,3.418913901,3.585871812,3.391624928,3.009981347,3.519171044,3.362066631,3.418913901,3.362066631,3.391624928,2.91268352,2.945016611,3.434214661,3.562458224
nCM,3.534887041,6.958234367,3.173883709,3.418913901,3.481484768,3.311906666,3.458534261,3.609583729,3.497766655,3.434214661,3.162818834,3.362066631,3.562458224,3.362066631,3.434214661,3.519171044,3.562458224,2.974315503,3.311906666,3.458534261,3.334993043,3.497766655,3.418913901,2.945016611,3.098018646,2.999398894,3.362066631
nCM,3.497766655,3.585871812,3.481484768,3.585871812,3.562458224,3.549357172,3.549357172,3.418913901,3.534887041,3.481484768,3.311906666,3.549357172,3.672615329,3.672615329,3.458534261,3.609583729,3.481484768,3.039271215,3.434214661,3.481484768,3.549357172,3.549357172,3.534887041,3.062354939,3.311906666,3.534887041,3.585871812
nCM,3.672615329,3.098018646,3.519171044,3.609583729,3.334993043,2.680289078,3.497766655,3.481484768,3.362066631,3.079725871,3.549357172,3.534887041,3.497766655,3.585871812,3.150158291,3.672615329,3.19692107,2.985266985,3.549357172,3.047869568,3.562458224,3.19692107,3.519171044,3.009981347,3.071690095,3.311906666,3.672615329
nCM,3.481484768,6.088406277,3.391624928,3.562458224,3.162818834,2.945016611,3.481484768,3.311906666,3.334993043,3.534887041,3.173883709,3.391624928,3.585871812,3.391624928,3.19692107,3.549357172,3.334993043,2.929910736,3.418913901,3.062354939,3.362066631,3.434214661,3.362066631,2.86750585,2.680289078,3.497766655,3.609583729
nCM,2.680289078,6.263900089,3.585871812,3.19692107,3.362066631,3.334993043,3.585871812,3.519171044,3.458534261,3.173883709,3.672615329,3.585871812,3.362066631,3.549357172,3.562458224,3.334993043,3.549357172,3.055181907,3.481484768,3.549357172,3.609583729,3.458534261,3.458534261,2.826893217,3.0199089,2.85124491,3.311906666
nCM,3.434214661,3.549357172,3.434214661,3.549357172,3.140250558,3.418913901,3.362066631,3.362066631,3.481484768,3.609583729,3.391624928,3.519171044,3.609583729,3.519171044,3.585871812,3.562458224,3.362066631,3.047869568,3.458534261,3.19692107,3.497766655,3.391624928,3.585871812,2.985266985,3.519171044,3.047869568,3.549357172
nCM,3.585871812,6.770987376,3.0199089,3.311906666,3.534887041,3.055181907,3.562458224,3.585871812,2.999398894,3.071690095,3.434214661,3.434214661,3.334993043,3.497766655,3.362066631,3.434214661,3.434214661,2.999398894,3.362066631,3.127059133,3.391624928,3.418913901,3.311906666,2.803346472,3.047869568,3.458534261,3.497766655
nCM,3.562458224,3.534887041,3.098018646,3.497766655,3.434214661,3.127059133,3.672615329,3.497766655,3.434214661,3.062354939,3.519171044,3.562458224,3.391624928,3.481484768,3.481484768,3.362066631,3.418913901,3.0199089,3.672615329,3.497766655,3.434214661,3.481484768,3.434214661,2.753481709,2.999398894,3.055181907,3.334993043
nCM,2.929910736,6.587653114,3.562458224,3.458534261,3.418913901,3.087967915,3.519171044,3.672615329,3.391624928,3.030147015,3.609583729,3.458534261,6.088406277,3.334993043,3.391624928,3.534887041,3.519171044,2.945016611,3.609583729,3.311906666,3.311906666,3.311906666,3.334993043,2.929910736,3.162818834,3.173883709,3.418913901
CM,7.384166616,7.786181593,7.771274038,8.073632752,7.786181593,7.867537648,7.893902103,7.575337072,8.147059577,7.925443314,6.088406277,7.741521749,8.638384009,8.147059577,8.191930996,8.286803033,7.771274038,8.129991896,7.974649907,8.372400643,8.061307798,7.925443314,7.867537648,8.874911742,8.073632752,9.025233015,8.20686787
CM,8.393818508,7.59627125,8.454223419,9.226687264,8.272382603,8.59373944,7.771274038,8.638384009,8.25911058,7.771274038,8.20686787,9.092973035,8.272382603,7.786181593,7.556857917,8.552720541,7.428606263,8.614745704,8.874911742,8.11559798,8.312713106,7.958697576,8.061307798,8.582831977,8.747375146,8.129991896,8.222044584
CM,7.428606263,8.340115956,7.893902103,8.552720541,7.867537648,9.049153004,7.882452555,7.974649907,8.363691801,8.522259932,7.477285517,7.805078639,9.001313027,8.04639093,9.001313027,8.59373944,8.239285297,9.243141265,8.522259932,9.416470186,7.556857917,8.522259932,8.454223419,8.522259932,8.03068305,8.286803033,7.707080729
CM,8.35498296,7.707080729,7.077109672,6.669919696,8.393818508,7.45446007,9.700756412,8.372400643,7.225462664,7.726818671,7.786181593,6.85058447,7.805078639,7.69337339,7.384166616,6.770987376,8.571924515,7.405043561,8.326878587,7.45446007,6.958234367,7.477285517,7.45446007,7.50463662,7.575337072,7.644382953,7.267574788
CM,7.925443314,8.454223419,8.340115956,8.454223419,7.707080729,8.930745903,8.147059577,7.613052909,9.315691797,8.191930996,8.393818508,8.783974456,7.990177617,8.552720541,8.073632752,8.11559798,6.462395419,8.393818508,7.805078639,7.771274038,8.086869461,7.816730062,9.001313027,9.315691797,8.176481669,8.614745704,9.128402222
CM,7.664461748,9.128402222,9.210233263,8.20686787,8.25911058,7.707080729,7.384166616,8.783974456,7.191871351,7.664461748,9.609991437,9.416470186,8.522259932,7.191871351,7.935992076,8.506999962,9.092973035,7.85214137,7.246518726,8.04639093,7.59627125,7.741521749,7.997072667,8.340115956,8.874911742,7.384166616,7.85214137
CM,8.571924515,7.613052909,7.405043561,7.428606263,8.506999962,7.760233992,8.326878587,6.770987376,7.405043561,7.707080729,6.669919696,7.786181593,8.326878587,6.088406277,7.533635355,7.310683427,7.760233992,7.644382953,8.086869461,7.644382953,7.50463662,7.077109672,6.669919696,7.477285517,7.405043561,8.25911058,7.613052909
CM,8.340115956,9.243141265,8.506999962,8.707755833,8.326878587,8.614745704,8.272382603,8.249197938,8.301069303,8.176481669,8.571924515,8.614745704,7.644382953,7.676376042,8.412935488,8.326878587,8.20686787,9.128402222,8.59373944,9.001313027,8.506999962,8.614745704,8.25911058,8.432661687,9.700756412,7.882452555,8.393818508
CM,7.958697576,7.90263332,7.805078639,7.477285517,7.893902103,7.676376042,8.222044584,8.614745704,7.925443314,6.896466985,8.086869461,7.310683427,8.147059577,7.629044783,7.477285517,7.405043561,8.522259932,7.707080729,7.077109672,7.477285517,7.771274038,7.225462664,7.50463662,7.575337072,6.462395419,8.239285297,6.462395419
CM,6.770987376,8.199399433,8.222044584,8.099992445,9.092973035,8.412935488,7.760233992,8.685269104,9.465003928,8.04639093,8.35498296,8.086869461,7.741521749,8.522259932,8.552720541,8.20686787,7.925443314,8.552720541,7.771274038,7.428606263,8.372400643,7.85214137,8.707755833,8.783974456,7.760233992,8.747375146,7.644382953
CM,8.494324124,7.69337339,8.432661687,7.707080729,7.225462664,7.726818671,8.747375146,6.85058447,8.019425031,7.077109672,8.412935488,9.210233263,7.771274038,7.384166616,7.90263332,9.315691797,8.340115956,7.676376042,7.958697576,7.760233992,6.462395419,6.263900089,7.477285517,7.893902103,8.372400643,6.462395419,8.073632752
CM,8.239285297,7.771274038,7.958697576,8.176481669,7.911671268,8.747375146,8.239285297,7.867537648,8.582831977,8.494324124,7.707080729,7.90263332,8.412935488,8.454223419,9.700756412,8.930745903,8.685269104,9.539497346,8.454223419,9.700756412,7.990177617,8.272382603,8.474647065,8.403376998,8.35498296,7.997072667,7.575337072
CM,8.099992445,7.676376042,6.958234367,7.384166616,7.405043561,7.477285517,9.416470186,6.669919696,7.833171298,7.85214137,6.462395419,5.725209121,7.85214137,6.669919696,7.138066514,5.725209121,8.59373944,7.786181593,7.575337072,8.129991896,6.896466985,8.191930996,7.556857917,7.760233992,5.725209121,7.613052909,7.077109672
CM,8.638384009,8.874911742,8.086869461,8.239285297,8.474647065,8.176481669,8.638384009,7.816730062,7.90263332,7.786181593,8.073632752,8.073632752,7.816730062,7.958697576,7.027383859,7.85214137,8.019425031,8.432661687,8.073632752,8.019425031,8.03068305,7.726818671,7.644382953,7.771274038,8.147059577,8.552720541,7.911671268
