Group,ANGPT2,CA4,CALCA,PADI4,SLC2A3,TNFAIP6
CM,8.614745704,8.685269104,8.003967717,9.049153004,8.454223419,7.69337339
CM,7.644382953,8.372400643,7.833171298,9.210233263,8.147059577,8.25911058
CM,9.315691797,8.11559798,7.805078639,8.656833461,8.656833461,7.310683427
CM,8.312713106,7.575337072,8.874911742,7.59627125,7.59627125,7.613052909
CM,8.073632752,7.930717695,8.073632752,8.326878587,8.638384009,7.935992076
CM,7.726818671,9.315691797,7.50463662,9.092973035,9.465003928,7.741521749
CM,7.556857917,8.312713106,7.867537648,7.867537648,7.958697576,6.669919696
CM,9.539497346,8.494324124,8.552720541,7.816730062,8.169742978,7.027383859
CM,7.267574788,7.613052909,8.312713106,7.882452555,7.45446007,7.664461748
CM,8.494324124,7.786181593,8.163004287,8.301069303,7.786181593,8.474647065
CM,8.474647065,7.533635355,7.613052909,8.073632752,7.990177617,7.786181593
CM,10.03524489,9.700756412,8.086869461,9.817612404,9.416470186,9.049153004
CM,8.685269104,8.474647065,8.25911058,9.001313027,9.071063019,9.243141265
CM,8.783974456,8.086869461,8.019425031,8.783974456,8.35498296,9.416470186
CM,7.629044783,7.90263332,8.340115956,8.11559798,7.833171298,7.771274038
CM,8.25911058,7.59627125,8.04639093,7.664461748,7.947862935,7.59627125
CM,7.310683427,7.85214137,7.644382953,8.340115956,8.747375146,9.817612404
CM,7.974649907,8.191930996,8.061307798,8.163004287,7.613052909,6.85058447
CM,9.465003928,7.741521749,8.176481669,8.176481669,7.893902103,8.163004287
CM,8.11559798,7.077109672,8.783974456,7.771274038,7.726818671,8.412935488
CM,7.575337072,8.783974456,7.958697576,9.465003928,9.001313027,8.319795847
CM,8.003967717,7.191871351,9.049153004,8.019425031,7.85214137,8.319795847
CM,7.874995101,8.522259932,8.191930996,8.312713106,8.093430953,8.019425031
CM,8.019425031,7.958697576,8.930745903,7.893902103,8.003967717,7.958697576
CM,8.061307798,8.707755833,7.191871351,7.925443314,8.372400643,7.45446007
CM,8.571924515,8.432661687,8.099992445,8.222044584,9.817612404,7.893902103
CM,8.099992445,10.03524489,7.310683427,10.03524489,10.03524489,8.930745903
CM,7.384166616,8.222044584,8.614745704,8.874911742,7.935992076,8.301069303
CM,9.210233263,8.286803033,7.533635355,9.700756412,9.539497346,8.656833461
CM,7.760233992,8.326878587,7.676376042,7.990177617,8.614745704,7.707080729
CM,8.163004287,8.061307798,7.405043561,7.974649907,8.093430953,7.533635355
CM,8.432661687,8.03068305,7.138066514,7.947862935,8.494324124,8.454223419
CM,8.129991896,8.25911058,7.556857917,8.03068305,8.199399433,8.20686787
CM,8.552720541,9.817612404,7.69337339,10.26603666,10.26603666,9.001313027
CM,9.001313027,7.027383859,7.786181593,7.556857917,8.169742978,8.494324124
CM,8.638384009,9.128402222,7.477285517,8.286803033,8.061307798,7.911671268
CM,8.147059577,7.882452555,7.629044783,7.911671268,9.128402222,9.539497346
CM,8.326878587,8.272382603,7.575337072,8.930745903,9.609991437,8.086869461
CM,9.700756412,8.20686787,7.726818671,8.272382603,8.685269104,8.222044584
CM,8.239285297,9.210233263,7.816730062,8.494324124,8.582831977,7.191871351
CM,7.833171298,7.947862935,8.301069303,8.003967717,7.805078639,7.833171298
CM,8.747375146,9.416470186,7.925443314,8.35498296,8.312713106,7.138066514
CM,7.85214137,7.267574788,9.210233263,7.428606263,7.405043561,6.088406277
CM,7.664461748,7.556857917,9.609991437,7.384166616,7.676376042,8.11559798
CM,8.199399433,7.893902103,8.393818508,8.747375146,8.199399433,7.50463662
CM,8.393818508,8.454223419,7.947862935,8.239285297,8.129991896,6.896466985
CM,8.412935488,8.562322528,8.129991896,8.147059577,8.272382603,8.685269104
CM,9.049153004,8.656833461,7.077109672,8.685269104,9.071063019,8.191930996
CM,8.286803033,7.405043561,7.974649907,7.477285517,7.974649907,7.384166616
CM,7.893902103,8.393818508,9.243141265,8.191930996,8.239285297,8.432661687
CM,8.03068305,8.638384009,8.286803033,8.638384009,8.222044584,8.522259932
CM,8.04639093,6.896466985,7.428606263,7.613052909,8.506999962,10.03524489
CM,8.930745903,8.163004287,7.90263332,8.571924515,8.25911058,8.099992445
CM,8.506999962,7.805078639,8.474647065,8.59373944,7.867537648,7.90263332
CM,8.301069303,7.384166616,8.494324124,7.958697576,8.03068305,8.003967717
CM,8.35498296,8.239285297,7.707080729,9.416470186,9.700756412,9.465003928
CM,8.222044584,8.506999962,8.685269104,8.707755833,8.293936168,8.129991896
CM,7.805078639,7.930717695,8.412935488,8.412935488,7.816730062,8.04639093
CM,8.272382603,8.073632752,8.35498296,8.20686787,8.403376998,9.092973035
CM,7.935992076,8.301069303,8.571924515,8.086869461,9.210233263,7.805078639
CM,7.816730062,7.911671268,10.03524489,7.726818671,7.556857917,7.428606263
CM,8.372400643,9.001313027,8.372400643,8.474647065,8.326878587,7.477285517
CM,7.741521749,8.003967717,9.315691797,7.629044783,7.707080729,6.587653114
CM,7.45446007,7.629044783,8.432661687,7.741521749,7.893902103,7.85214137
CM,7.428606263,8.129991896,8.506999962,7.90263332,8.11559798,7.990177617
CM,7.958697576,8.019425031,8.20686787,9.315691797,8.552720541,8.783974456
CM,7.405043561,7.771274038,9.465003928,7.69337339,7.629044783,6.263900089
CM,7.947862935,7.990177617,8.11559798,8.454223419,8.474647065,7.974649907
CM,8.656833461,7.664461748,7.935992076,8.099992445,7.533635355,6.770987376
CM,9.092973035,8.562322528,8.707755833,7.833171298,7.925443314,7.267574788
CM,9.416470186,8.147059577,7.85214137,7.805078639,9.243141265,7.644382953
CM,7.477285517,8.099992445,9.128402222,8.372400643,8.930745903,8.614745704
CM,8.707755833,7.833171298,10.26603666,7.760233992,7.741521749,7.867537648
CM,7.990177617,7.428606263,9.539497346,7.575337072,7.664461748,8.552720541
CM,8.176481669,6.958234367,8.454223419,7.50463662,7.384166616,6.958234367
CM,7.874995101,7.225462664,7.911671268,7.45446007,7.428606263,7.077109672
CM,7.533635355,8.340115956,7.990177617,8.522259932,8.293936168,9.315691797
CM,8.522259932,7.974649907,8.522259932,7.935992076,7.911671268,8.272382603
CM,7.925443314,7.644382953,9.817612404,8.061307798,7.644382953,7.726818671
CM,7.911671268,7.69337339,8.03068305,8.506999962,8.03068305,7.947862935
CM,9.609991437,8.35498296,9.001313027,9.609991437,8.707755833,8.393818508
CM,8.086869461,7.816730062,9.092973035,8.04639093,8.03068305,7.816730062
CM,7.50463662,7.138066514,8.59373944,7.533635355,7.69337339,8.061307798
CM,8.59373944,8.04639093,8.656833461,8.25911058,8.073632752,7.225462664
