Group,ANGPT1,ANGPT2,ANKRD22,BCL6,C1QC,CA4,CALCA,CCL5,CD177,CKAP4,CXCL10,FAS,FLT1,HK3,HP,ICAM1,IL18R1,LAG3,PADI4,PF4,PGLYRP1,S100A12,SLC2A3,TNFAIP6,TNFRSF1B,TREM1
Control,66.58484254,0.244722132,171.0674142,3080.513503,-4.693416244,203.7120688,-0.001560508,7493.823045,-5.095374315,349.8492129,78.01722264,93.75724761,0.889075736,354.0191543,5.611177868,-1.542520508,363.559375,263.9652683,706.311274,1.104182437,208.9000051,1886.712385,3782.052731,1344.236428,670.2609228,157.0992538
Control,70.15674497,1.572432589,8.12708467,3037.990559,1.701229695,247.6482192,-9.147039289,5489.025422,3.618057868,639.9071229,48.62967046,35.98340051,-2.686163046,461.5797511,21.99710497,0.930199442,162.0652376,48.83412538,1036.740724,-11.44725036,292.7862613,1952.835688,5285.950044,534.8502079,542.273257,369.9545828
Control,53.64739178,8.284912589,172.5264147,4338.328528,17.36762863,451.056073,-5.399594112,5657.569403,4.244291168,513.8192346,70.65643056,76.33457665,-4.838060203,317.1019585,4.110704365,7.82346731,327.8059299,144.475734,1375.440611,-6.635387614,434.5634136,2763.620339,5285.950044,1934.647935,809.0772067,201.137404
Control,71.6583734,-1.225856447,38.93075086,2937.107076,3.072338071,250.9967469,-1.933990457,4494.970863,-16.50518244,734.5034876,44.40276589,25.15800914,-4.121973909,508.5086499,85.0306131,14.08742294,285.988385,127.7698087,2367.248214,0.920378731,737.5760892,3017.501802,4318.891912,312.4632043,952.033481,226.2372194
Control,73.32348792,-3.033598579,39.62392122,2513.631468,-7.25461533,287.5106726,-1.715880812,6569.007136,13.21011746,487.5420198,48.40057005,43.78113401,-5.99694335,312.999291,11.51621431,15.70103401,268.5609284,141.2802701,1246.569224,-0.312046701,165.1948165,1912.625412,5563.158693,329.6373475,756.1286919,94.58130335
Control,61.42685096,-4.925500102,54.49562924,2912.621083,2.185071472,282.9054162,-10.5275669,6094.517553,0.655986447,474.3618844,51.58389929,47.11687259,10.73706772,358.6364907,2.494254924,8.989106396,277.4442613,130.9356939,1402.665506,-2.683172589,219.5727055,2066.658309,5473.612377,387.6657698,663.5404259,129.5364411
Control,60.4869666,2.652249746,24.48981442,2207.476074,-13.45226711,151.7753206,-12.48233523,6245.513337,-5.27841066,379.1764376,21.10113462,19.51275462,0.605058477,274.6610903,17.40134091,5.090590863,258.8492642,95.6651533,955.720684,-6.417610457,132.3179774,1732.787111,3872.048281,311.5267542,537.2405034,244.272365
Control,52.27098386,-2.449124315,281.1825675,4052.654539,-1.72953797,488.3457737,1.649268122,4774.723301,5.613401117,417.5164346,74.88192386,104.4211491,-10.52203645,383.6535,1.787844061,16.77563817,374.7288289,116.4836098,1966.536277,-4.234254061,262.968749,1140.420431,4580.992943,1498.955043,952.033481,205.7540324
Control,67.36150477,-0.878048223,89.00548518,2484.403966,3.507348122,257.6187072,-5.002016751,6363.191376,-0.697544518,542.7503431,118.4945106,63.52058985,-4.567436142,400.4669127,2.724098477,13.0796666,294.9275014,313.960945,958.8706297,-2.620195228,151.4345548,2691.389193,3948.417235,645.6910715,882.8617549,212.9591318
Control,94.34005624,1.260773807,39.16206985,4088.204784,5.947917614,412.3944578,-7.206067005,7466.037855,0.60946264,888.2968521,80.08532508,48.78288558,-10.14870579,350.2376422,14.36121604,19.36458254,436.4296645,165.339118,1415.369864,2.606335888,231.8350103,2917.404769,6696.37267,1648.773562,692.2254596,269.9127438
Control,50.63696629,3.162918173,15.89232812,2666.994968,8.762448629,248.2591157,-10.92357523,5594.531696,0.179728325,468.0412779,31.3096331,28.57564467,-2.016553604,265.475054,12.42254203,6.870863147,274.0505951,120.0723479,867.6278463,-14.76273239,79.51799716,1331.277678,3321.533276,588.0656903,813.2256872,101.3193324
Condition,31.29510995,-2.164785431,403.3554276,1906.05217,58.21215228,109.9689566,-0.623733909,18694.34017,-2.890261421,266.1599466,361.0879905,65.6431665,-6.377855736,425.7106903,16.73523817,33.08886822,219.9735332,711.5603321,724.7433066,-11.18784822,206.2498249,1245.581815,3102.078102,1326.802326,533.1871536,49.5513203
Condition,19.40864508,-0.765238883,136.0792296,1590.069906,18.78406416,185.6808623,-11.1432666,25598.04611,8.023078985,327.6853272,81.90908274,40.47396437,0.243480203,279.2679154,19.55255685,10.44654442,355.1449494,1093.618461,1241.505474,1.520103046,175.2416544,1196.038484,3327.83378,466.9068481,489.1559213,70.40890599
Condition,25.10847635,4.784326294,80.35278041,2233.211303,7.121756142,215.1961562,-1.046801269,14701.29084,-9.214033706,459.8937366,172.1329262,34.74962975,-12.05929086,441.2905824,65.74874294,10.79096234,285.2337838,591.6540868,1199.827034,-16.61372223,221.901453,1306.641195,4399.342827,971.9953628,531.5269079,69.64454711
Condition,25.10328518,4.067828426,130.9356939,2524.199564,11.37215442,133.0105798,-5.921830558,14628.71289,2.817120711,412.5508455,307.6411008,59.33355898,-2.42405533,432.8602427,12.06459137,1.913614822,245.5705963,628.560002,1473.753741,6.191339695,109.7595848,1547.153655,3141.853579,1066.783207,775.5374654,113.9129723
Condition,57.60690142,6.275061929,113.7228996,4079.135974,7.703741117,143.6159631,-5.690075533,12114.82232,2.939445584,713.4176745,269.2351601,66.24675543,3.457118071,917.3936682,26.74135482,12.18009289,431.1088608,455.6343046,1071.311244,-6.322448426,167.7933917,975.787259,5956.050714,773.3626183,916.8036556,113.0816843
Condition,6.799144365,-1.774078883,87.93324274,2207.476074,20.7487465,56.46365279,-8.904687716,26981.63504,-2.08563665,483.6607002,170.6774539,50.78816629,-5.551787919,459.3107592,7.919315431,7.657911827,359.4209625,995.2828087,395.9509524,-14.41300802,84.63740487,398.0389585,2638.92743,1129.249318,494.7488655,24.7206132
Condition,21.00301208,8.790029543,45.80822995,2679.002409,0.036100102,105.2119006,-3.665505685,8065.724315,2.979667919,944.8323775,201.0792845,27.73395168,7.203552995,1289.314799,20.5313865,18.63687817,638.3515115,96.94227766,1479.225208,-3.657108122,115.1214399,756.546965,4441.294673,848.0846893,475.7288641,32.75377117
Condition,28.7731797,-3.691099797,781.2024036,1770.447032,80.72566162,183.9741617,3.401881421,11220.25874,3.544538782,358.7712046,1362.126306,37.08740345,-0.989256041,390.4649804,4.257925533,21.71721076,294.7276351,882.8617549,1118.567138,-1.326437005,218.9772834,1062.358434,2724.877652,1679.428369,563.8037722,76.9594603
Condition,69.75696315,1.183224822,48.62967046,4348.831748,-0.439230558,146.1250636,4.759750964,7827.73749,-4.634122843,617.0760125,70.63680244,54.26018751,3.174117056,343.2183707,21.63584975,4.260833807,428.7203057,162.897962,1168.597437,-1.391679188,175.951861,1433.464184,5689.084826,947.8751691,886.1222612,160.3172209
Condition,94.76505645,0.854133604,91.89497878,3665.163483,-5.054102589,171.0674142,-10.40197168,13768.598,-2.023583147,380.9903485,128.9908841,82.87915594,-0.011221827,529.8495359,26.15465848,12.43205685,589.993596,367.5525334,826.0106487,-10.05310711,99.07486751,1134.341156,8034.256175,1682.928803,769.4971261,108.9572474
Condition,38.62776477,-4.304205888,178.7414436,3217.888495,14.42702386,377.2181861,-2.593449442,10061.38173,-7.392329848,583.1183354,102.965178,41.76939533,-0.440009949,317.6416635,48.05353939,3.614502487,286.1704937,822.6465349,2295.289979,-5.978287005,281.4536738,1871.984801,4379.562307,1154.251897,1215.043853,189.6045415
Condition,39.58327787,-2.758937766,48.1706732,2166.160916,6.137210761,173.2101638,-3.963324467,8515.616422,-19.85107848,333.1004676,110.4626608,50.00299239,0.646143046,276.7332987,16.18457239,3.898299492,260.9784439,649.5267403,1359.693931,-6.019250051,141.6032313,1599.719156,2776.756275,746.391911,853.6052526,74.38887391
Condition,50.20040548,5.153308122,91.16495218,3948.417235,2.411600305,440.0918245,2.333469543,7768.093158,-1.709440711,1295.713841,33.80682487,42.72751462,5.623535025,668.9062009,95.63829117,26.02249442,275.5558384,303.7300371,3855.046953,-1.421843756,539.6424445,3384.884996,4762.178697,726.3165163,1071.311244,301.0683481
Condition,18.04743655,-3.014160305,123.4072925,989.9920904,61.92763208,64.94080426,0.426181827,16910.96161,2.694345888,1096.830137,319.7292761,32.76173086,-0.426725533,619.2132713,172.9125888,10.91378782,212.6409624,2873.492615,2025.166482,-3.232077766,702.2727828,1202.669452,2902.881029,388.2580426,930.1009677,28.3903799
Condition,19.41564924,-4.596085939,244.3464519,1425.561141,35.85738619,115.5407117,-5.185704975,13768.598,0.860054619,290.9400975,310.9021689,53.12087543,-3.190906802,159.1751529,13.39408883,13.19478853,267.876348,1326.802326,926.0574026,-5.368546447,69.6265068,1214.10421,2716.211243,949.0828175,837.7222525,61.32342528
Condition,14.12115249,11.18310091,97.18773066,1730.958684,37.83958477,630.7338978,-6.164826701,6899.254622,5.157610558,694.7035662,738.3677828,42.71583137,-5.358454822,545.4375955,93.65300244,16.43461503,322.0544402,552.4299885,1734.716484,-4.781891269,220.9030729,1930.2502,4505.99578,1939.002731,1339.431132,90.76157431
Condition,27.06512609,8.166615838,113.2737847,2069.291553,-1.236593604,357.6004808,-6.15774934,7768.093158,0.347248731,610.5053237,153.1231977,61.32342528,-1.544570152,362.9207219,7.346326294,10.18606508,232.1777088,350.4972732,1845.260105,-7.26116934,176.2538549,2144.615709,3290.038218,684.4163879,873.8828044,130.1987948
Condition,21.91998122,4.950378579,40.92774416,1341.786639,26.65433005,380.5763025,2.611210863,7768.093158,5.419355228,782.4711039,113.7228996,42.1927335,5.233236548,224.3239111,16.75765589,15.24241563,205.9417525,532.2213781,1693.450288,-0.140112183,184.9292353,2463.269193,3562.517437,485.2949588,695.0559591,78.87475005
Condition,42.1503803,-8.272976244,110.9008324,3562.517437,16.07174477,376.6657803,-1.362854518,9881.149949,14.81748264,485.9095912,50.74683299,58.71687939,3.21288,286.2639548,19.14911645,11.82873777,392.2433919,631.0238641,2878.538012,-7.566011777,375.2829125,4116.182452,5563.158693,894.8858188,1001.346012,194.867521
Condition,26.64119157,-1.608061117,68.50366325,3397.968327,-0.806136345,471.6823446,-2.966086802,9248.852916,6.178826802,418.1907073,38.85249584,42.98235685,-7.160441726,354.7758385,54.00708173,17.01660223,371.6899127,464.5966632,2092.152942,-7.72151868,133.8871276,1560.828322,5081.717097,1125.142547,1277.574886,175.1385718
Condition,4.827315431,-8.181381827,162.9483385,1076.63326,11.4096,131.2763338,-3.282641523,6717.731333,10.14344853,936.5586325,252.3384687,50.92301533,-3.889105482,292.2969729,103.1399639,-0.842317157,212.0747464,1442.686062,1533.611094,-11.53106081,236.9918622,1450.660021,2373.635313,310.0552579,808.1289652,10.61508102
Condition,22.90178376,-0.899587817,49.00269888,1857.370986,17.7807933,77.10647239,-8.678964061,10248.08305,-1.898545025,575.0080855,248.6419224,37.22407594,0.552745685,494.535251,9.984534619,15.5586997,340.796971,699.0238987,1015.650044,0.012848934,107.5107237,699.397938,3247.523043,1014.930368,791.8054692,63.48552731
Condition,2.849791878,-2.913406396,140.4481084,7015.288171,22.12168274,316.6666265,-12.51540112,9170.472434,121.2329269,1755.492639,270.5247314,75.74604457,6.039021218,1195.123267,176.2012091,19.78989046,1799.334722,426.216018,1345.354652,-13.10785421,281.8218926,13423.61881,11277.73589,3096.53441,732.5350224,40.57790132
Condition,53.13434162,2.215089442,49.33847117,1504.634531,12.19379299,123.4853538,2.753139086,8126.963338,2.740983959,361.3484703,161.9754955,38.22938893,-3.20153665,352.1355489,5.043856294,9.143005888,254.7226968,306.6095664,776.4158864,3.526718579,201.0792845,1306.641195,3711.302518,380.8534738,818.4113848,101.0090784
Condition,55.31301787,-2.649441624,75.72634904,1820.892462,54.74501005,122.4367226,-4.718748426,8192.988395,-1.608061117,342.1233756,620.7351187,54.75883645,-4.102353706,416.8790336,23.28464873,-0.09406802,375.4269538,640.8811667,1331.277678,-8.153347716,152.1592279,1146.36856,4144.253191,1438.747891,1105.603882,112.5712016
Condition,58.05718426,5.035899188,148.7929239,5257.565351,2.093516853,164.8651509,-7.552294416,5134.910879,38.60895056,805.332427,389.4421045,41.56766914,0.983495025,1102.320704,-7.011655533,6.416775127,536.2847868,150.7937172,785.5483615,-0.45935269,497.0465085,3423.865611,7439.621599,8034.256175,977.0976144,486.1088461
Condition,82.87915594,-0.848723249,112.9216326,2456.370418,9.367159391,74.77795604,1.185201421,8868.891907,6.195615787,446.3775895,205.3881885,25.16842802,-8.405921218,395.9509524,16.2037136,15.32244071,242.8940143,418.5041148,966.9412641,-5.064286751,138.1289803,1480.602768,4318.891912,1955.115229,1088.164012,168.2651477
Condition,19.1249667,1.109831675,247.5659678,3096.53441,14.68838061,152.5042035,-8.544390964,12414.48758,2.300189645,842.6273578,263.2156648,48.55098548,-4.282505381,432.1526855,13.56417584,1.877287107,409.556981,980.8950679,1464.262736,-9.276967513,207.1743132,2253.59481,6323.994602,2840.248831,678.8975685,125.4885808
Control,29.1195203,10.45384843,26.06763695,2572.694842,2.671463655,181.6587885,2.879496853,8416.060348,-5.403947107,675.0993963,44.43774325,28.09912,0.996887005,835.7637593,32.47297604,-8.681440914,220.3633744,96.19485787,2466.73921,-0.429544264,395.3565102,5610.13324,4298.747158,710.4321495,753.2615585,90.01068619
Control,38.28494863,6.189644975,49.9770866,3726.658199,1.597336853,347.7425441,-7.722625584,8832.934658,-2.767139695,730.5806619,75.23236853,60.08385239,-6.283018274,643.0822146,29.63416213,-1.131980711,248.3337663,127.8399047,1287.210969,-6.396221117,475.9227129,3830.594199,5473.612377,1545.706429,918.5683421,258.8492642
Control,28.18816558,10.9112402,25.08067888,2196.345416,-5.514715533,113.4675787,5.316791472,7520.159141,-8.339924162,594.7511792,50.89593421,16.38061817,-8.84390802,463.2654896,24.38522812,13.07509452,194.753344,155.3985615,1461.575484,-6.784870863,208.4610662,1255.558249,3477.961635,240.6195826,735.6550171,139.5388064
Control,30.37995421,8.746996041,26.61775096,2746.272328,7.245090355,113.786608,-6.608767817,7284.336679,-4.142951168,445.8383629,41.86759614,14.28436396,-6.405983858,371.5525214,53.54604213,0.656298579,197.4881312,216.8817716,2546.255967,-8.351656447,260.3229673,1279.723994,3905.974297,605.265315,576.6209532,106.4616968
Control,45.28497553,4.161661624,38.44576497,2470.145068,-4.962974873,163.7915656,0.488935025,6041.435303,4.492430051,769.9329985,48.05353939,20.1289601,-14.55114843,537.9582372,26.68179523,-3.454638579,182.4931261,56.84100934,2603.286279,5.561809848,365.6659814,2768.038126,4008.848787,633.4446719,683.0196812,97.70208721
Control,44.26082497,3.780632792,31.41233168,3905.974297,5.589535635,180.7646348,-4.506709036,8003.5105,-0.47355797,756.1286919,39.83982944,33.34038629,-4.372336345,566.857023,19.57395848,-6.286686904,240.6195826,104.8572953,3096.53441,-8.564718071,707.0611375,1934.647935,5657.569403,932.9962066,962.5815803,211.431363
Control,35.84864975,2.179265381,38.25667015,2538.774345,1.116410254,162.9944774,-2.841790558,6632.121448,2.98833533,434.2146451,49.03988761,22.90178376,-5.513246802,393.8642518,63.86404518,-5.815170254,135.8535914,126.554699,2389.847371,1.076265076,516.1470352,2201.894046,3830.594199,1076.63326,775.5374654,162.2439008
Control,64.39901147,-2.470351523,31.32442985,3846.565534,-0.47537066,319.6167399,-6.534256345,4727.139977,5.165716751,483.8653511,63.6253402,36.61093269,1.619916041,653.0610985,45.29648721,-1.045467107,214.7541452,75.17058162,2236.066896,-0.655678274,342.1233756,3621.274838,6853.490175,850.0584607,900.4507954,239.2825873
Control,30.27959096,4.208754721,49.09970401,3569.627822,-1.85541066,249.8245979,-5.127948325,6923.423558,-5.275024873,589.4341429,34.24517655,15.20021523,-4.567436142,569.9693873,33.74183817,1.281464975,215.0675873,69.75696315,2323.188439,-6.949900102,309.5273425,2081.742767,5753.608036,671.9690878,927.8041693,111.4621026
Condition,60.38925594,-6.652517259,36.62007005,2670.863412,4.895251777,180.655878,-11.69886396,6738.604326,9.60989198,603.8267613,41.83260599,12.28522477,-7.955804365,613.1950729,22.93434528,-9.149491878,160.5941075,51.02905107,2987.243642,-5.849594822,298.7611056,1630.562384,4919.95048,787.7709001,566.0793555,85.19646102
Condition,34.07956944,2.861295635,27.53456893,1667.316784,-2.755950254,65.78432244,-13.30549695,8942.320056,-0.340646396,410.8046761,44.40276589,28.13835005,-1.682295127,270.0823027,24.23443787,-0.779234061,155.5329015,186.494129,2018.118654,1.007689848,199.5967541,853.0917337,2922.408886,167.5140727,1008.091042,93.65300244
Condition,43.16597756,2.145699695,37.42252294,4399.342827,8.033031168,330.5583274,-0.512398071,4298.747158,10.65810701,601.2554648,41.94388599,30.68919685,-3.782204162,508.7269609,34.38600518,3.664220305,175.8527627,108.5298535,3017.501802,-9.360985584,542.7503431,1328.978194,5272.695814,357.4682985,1089.78912,154.8703394
Condition,27.29814822,-0.986194619,26.73581411,2199.144394,0.380725381,113.9463855,7.536178934,6131.232079,-4.111564975,491.4276051,54.80373766,21.44868142,-4.537710254,467.2800067,68.39058761,2.385141929,155.8067174,93.13714832,2109.90534,-1.223022234,232.9613281,1855.357228,3271.909655,136.9207236,953.8420018,133.2860295
Condition,54.5091597,1.427731015,58.77628294,3695.630951,-4.653928528,440.6027229,-10.16594538,5108.518502,-1.225856447,716.7473419,52.10597218,14.00740741,-4.210628731,565.5797602,82.69901817,0.262623959,148.8816714,37.09610985,3688.067158,1.942649695,937.1562183,2357.541355,4441.294673,851.6224483,469.5630251,148.4076083
Condition,33.93899239,6.095017107,36.66666152,4238.731474,4.521693807,256.3219022,6.348898477,2892.982875,9.210797563,783.3753653,43.66678071,35.04387107,-11.59862279,558.9655455,61.51161594,2.362687614,195.1504435,61.42685096,2997.291532,-1.081086294,503.0400328,1964.24969,5626.118057,681.6393438,907.7372629,165.4754305
Condition,72.00935025,-1.614120203,48.14547766,3982.959757,-1.890987919,397.8881715,0.344142234,4883.976468,-4.309709645,456.0008314,66.0138334,36.89888173,-10.05620244,646.9754936,37.58060203,10.9840002,187.9844034,80.06418609,2623.022874,-3.589620152,293.5527547,2459.777232,6569.007136,854.1232181,1125.142547,228.8481055
Condition,31.68702711,1.500760305,34.79380426,3327.83378,-2.484721827,167.886227,0.127173299,2699.637959,1.053226904,574.2496185,25.19563726,15.64845208,-8.55758467,630.7338978,49.92615858,3.592243249,202.8092793,35.55005289,2061.553619,-8.811353909,527.0648063,3366.393285,4692.947625,572.6417804,822.6465349,167.7933917
Condition,26.42399523,4.597720914,21.01524234,2513.631468,-0.337361827,85.17105543,-8.364812792,3806.081957,-1.251047513,465.9248303,56.22350772,23.3603732,-8.795478477,549.6968653,31.35430751,5.196103553,301.0683481,54.22910975,1959.77668,-5.841109036,275.6458781,848.0846893,3378.770291,208.5839673,614.9850681,65.23575056
Condition,21.20677746,0.330166294,23.65088761,2341.92974,7.360284975,123.4458576,-2.931171168,2952.071895,2.959065076,402.8980435,43.38121685,15.83754954,0.812009746,436.251251,56.41808457,3.996165584,155.0505462,62.57857726,2149.922078,-9.667578376,228.1461084,1424.371932,3766.425026,191.3623855,1178.436161,105.1527239
Condition,23.54677898,0.504808629,20.24878365,1930.2502,2.828939949,107.6658617,-5.064581117,5231.263847,2.558956599,390.7659259,38.63925949,21.66555898,0.902847411,245.0332352,38.97253056,1.916365076,114.5979753,66.46093624,1943.700757,-6.856561472,158.256129,2069.291553,3814.551927,175.7991283,766.9300169,70.34938122
