Group,CA4,SLC2A3
Condition,75.10805695,3027.919299
Condition,194.753344,6527.508437
Condition,684.0619087,5081.717097
Condition,346.0183499,5753.608036
Condition,798.5397058,9053.36811
Condition,758.2378327,7493.823045
Condition,596.4104149,4338.328528
Condition,451.056073,4389.326711
Condition,663.8724087,4992.979548
Condition,236.7779006,4483.683711
Condition,508.7269609,2907.835505
Condition,609.0479678,5342.607519
Condition,464.2163863,5175.389503
Condition,395.8036641,5068.558595
Condition,432.3302455,5641.735966
Condition,667.2004422,-17.16412274
Condition,562.2414558,6094.517553
Condition,958.2252885,10903.56778
Condition,302.2957591,5518.198046
Condition,696.4615285,5610.13324
Condition,150.8754309,3366.393285
Condition,622.5102505,6059.412876
Condition,408.1465539,5081.717097
Control,403.4975308,4210.220899
Control,221.503719,4847.052735
Control,423.8776458,4956.159022
Control,667.8761512,6969.138832
Control,165.1948165,3830.594199
Control,291.7178983,5626.118057
Control,481.85972,6245.513337
Control,260.7295559,4968.63214
Control,141.6032313,3135.710907
Control,638.0419082,7109.965157
Control,267.7928531,5870.746965
Control,680.5994455,8515.616422
Control,449.771277,6527.508437
Control,252.3384687,4602.724016
Control,837.2197901,6717.731333
Control,253.0419235,4647.074115
Control,500.6934297,4409.897518
Control,494.1135402,6167.569598
Control,165.6671759,3897.934207
Control,217.2738641,4810.646782
Control,324.5141082,4144.253191
Control,383.3715617,8192.988395
Control,192.2571032,4162.972122
Control,453.7862894,6094.517553
Control,155.3533212,4569.783947
Control,72.30634426,2477.32518
Control,485.9095912,7768.093158
Control,204.3052134,4125.573354
Control,354.5261434,5518.198046
Control,782.4711039,7184.468012
Condition,606.1383837,7414.977184
Condition,598.6727129,8798.476404
Condition,370.7664814,5356.590077
Condition,589.993596,5532.902987
Condition,211.1256434,6761.244974
Condition,245.9546543,4248.637299
Condition,750.4001811,6206.795796
Condition,172.423853,3838.465545
Condition,364.7365802,4248.637299
Condition,203.889396,3141.853579
Condition,87.81637807,5189.57058
Condition,197.1503466,3327.83378
Condition,527.7508487,5887.842917
Condition,90.76157431,4692.947625
Condition,573.4541615,4229.450104
Condition,591.0859659,5489.025422
Condition,168.2209755,3423.865611
Condition,385.4926286,7109.965157
Condition,946.6612258,6226.380017
Condition,245.7981815,3498.28381
Condition,158.3506463,4348.831748
Condition,259.1771141,5189.57058
Condition,390.4649804,4786.348352
Condition,655.3611809,6590.93889
Condition,245.4146936,5578.877093
Condition,721.2677261,5563.158693
Condition,322.4065997,7388.899256
Condition,373.1947835,3657.702812
Condition,400.0141312,4409.897518
Condition,702.6443752,5428.766702
Condition,97.61822102,3340.925317
Condition,199.2473905,3974.465199
Condition,653.7143811,7797.917197
Condition,1010.716501,5705.598159
Condition,290.2635007,5563.158693
Condition,1141.249566,8034.256175
Condition,110.3705568,4359.815261
Condition,806.7561492,4538.843536
Condition,644.077342,8761.336727
Condition,233.3152005,4528.393931
Condition,115.4443529,3491.494699
Condition,168.7397333,5641.735966
Condition,199.47778,4602.724016
Condition,254.3275531,6131.232079
Condition,592.2121478,6382.967939
Condition,193.051224,4462.213548
Condition,601.5351625,7574.852797
Condition,200.5419104,3512.336794
Condition,365.1318251,4919.95048
Condition,169.0763646,4483.683711
Condition,171.7442364,3450.783636
Condition,194.4662733,4883.976468
Condition,228.8481055,4451.836794
Condition,324.0768128,5272.695814
Condition,555.9359766,7915.500613
Condition,179.6626227,5257.565351
Condition,330.2050495,5175.389503
Condition,177.0681616,4420.4452
Condition,212.8950204,5458.714919
Condition,204.7343547,3347.302858
Condition,1317.862863,5838.031868
Condition,126.7320062,3606.024953
Condition,494.3202734,8550.803852
Condition,110.8686848,3606.024953
Condition,224.3239111,5161.412479
Control,400.0141312,4569.783947
Control,231.5436801,3914.447668
Control,56.97616721,3562.517437
Control,147.3654678,4288.425033
Control,85.12531756,2646.994398
Control,88.51003949,4134.868184
Control,181.6060448,3308.667974
Control,167.4183822,3621.274838
Control,224.057995,4559.67527
Control,269.9966504,3391.242889
Control,430.7630742,5938.835115
Control,209.4481199,4968.63214
Control,270.5247314,3830.594199
Condition,273.9574272,5257.565351
Condition,459.5003617,5161.412479
Condition,1096.018733,5428.766702
Condition,288.4486191,7885.884308
Condition,1116.960827,5328.035855
Condition,231.5436801,3711.302518
Condition,707.8012451,6738.604326
Condition,993.6423208,13226.81624
Condition,86.63719289,3889.168356
Condition,106.3747468,2572.694842
Condition,506.3163463,5189.57058
Condition,633.1414835,5938.835115
Condition,465.9248303,4613.148031
Condition,312.570371,4797.749196
Condition,282.0090366,5068.558595
Condition,465.1597836,5610.13324
Condition,463.8367648,9053.36811
Condition,331.4768358,5018.075422
Condition,773.8201426,4907.469481
Condition,91.18944731,3223.590008
Condition,789.1299038,7109.965157
Condition,440.9447883,6303.400238
Condition,1359.693931,7360.741436
Condition,726.7109736,7520.159141
Condition,569.7073114,5803.369362
Condition,489.3633867,5838.031868
Condition,1124.317831,6674.520342
Condition,725.1237457,5231.263847
Condition,1063.122185,6282.76466
Condition,943.0569535,7133.716777
Condition,785.116062,7973.223872
Condition,1033.872238,7234.878869
Condition,1556.286348,7574.852797
Condition,692.2254596,4483.683711
Condition,968.183829,7015.288171
Condition,717.1262511,8126.963338
Condition,583.6404123,4847.052735
Condition,524.7409426,5518.198046
Condition,5.783866904,5518.198046
Condition,881.8145356,7015.288171
Condition,1335.952378,8449.865091
Condition,937.7374891,8065.724315
Condition,927.8041693,9408.382915
Condition,1041.083553,8222.928116
Condition,1147.194264,9449.00155
Condition,796.7342074,6006.362881
Condition,533.9078793,4956.159022
Condition,314.8116645,4430.839096
Condition,587.5168999,5594.531696
Condition,1117.741002,6527.508437
Control,903.1944153,6282.76466
Control,208.1577884,5056.154516
Control,689.3780594,4692.947625
Control,614.082561,4859.936657
Control,317.6416635,3782.052731
Control,487.3304507,6112.112275
Control,244.5811038,3583.764946
Control,806.7561492,6946.047533
Control,283.4633897,3974.465199
Control,633.1414835,5018.075422
Control,997.2821337,8722.53789
Control,783.3753653,7439.621599
Control,601.2554648,5231.263847
Control,350.7381486,3905.974297
Control,346.5197025,4328.232655
Control,320.0028659,5594.531696
Control,174.5533378,5525.550516
Control,292.3902578,5108.518502
Control,170.0131885,4895.365055
Control,114.3328038,3846.565534
Condition,357.6004808,4181.662528
Condition,147.5709955,5356.590077
Condition,171.1169474,4895.365055
Condition,376.9498103,5887.842917
Condition,392.0920228,5018.075422
Condition,108.0650532,4681.873625
Condition,470.3369821,4670.227465
Condition,233.5253699,4762.178697
Condition,150.1984522,4162.972122
Condition,380.7809709,5356.590077
Condition,559.9520089,8319.53322
Condition,701.2082539,4980.74015
Condition,382.0394225,7414.977184
Condition,352.068446,6363.191376
Condition,411.127612,8515.616422
Condition,261.1027735,6131.232079
Condition,143.1907383,3703.420262
Condition,565.342997,8034.256175
Condition,395.3565102,4359.815261
Condition,261.6068056,5770.093173
Condition,552.4299885,6696.37267
Condition,242.4065246,5753.608036
Control,344.5436588,8416.060348
Control,450.3343773,5356.590077
Control,367.8156725,9534.565359
Control,151.9063049,5956.050714
Control,460.6548696,8515.616422
Control,683.3601103,6808.036432
Control,385.4926286,7159.165256
Control,112.8909227,6382.967939
Control,325.194892,6263.85676
Control,314.2800734,6466.388417
Control,318.6206139,8065.724315
Control,382.6746294,6632.121448
Condition,5094.821253,16453.23317
Condition,5121.47926,18463.28044
Condition,891.6201174,12295.53479
Condition,2513.631468,15488.4077
Condition,3241.593056,16360.59876
Condition,7973.223872,17810.12964
Condition,3718.937414,15654.97288
Condition,2250.698709,20837.51746
Condition,1577.63235,8654.260945
Condition,1029.592807,12598.94405
Condition,2638.92743,20305.64325
Condition,3102.078102,17104.08726
Condition,3555.232085,16179.31064
Condition,2360.783217,17004.23069
Condition,2419.171541,21102.82399
Condition,3372.636582,21528.02338
Condition,2241.705605,18694.34017
Condition,5838.031868,20837.51746
Condition,4591.549569,17599.81537
Condition,598.0912705,8034.256175
Condition,1533.611094,18927.11087
Condition,1078.137332,15907.7689
Condition,1893.178076,17704.21318
Condition,2212.968978,16910.96161
Condition,3012.57289,14849.85103
Condition,909.9704764,14268.35302
Condition,5428.766702,18348.53096
Condition,4238.731474,16179.31064
Condition,3321.533276,17300.58663
Condition,3199.892309,16267.48102
Condition,6466.388417,19045.22021
Condition,2623.022874,21528.02338
Condition,5300.208596,22595.21287
Condition,254.087023,6653.641877
Condition,637.4514783,8618.42373
Condition,52.87160711,3423.865611
Condition,193.8982109,5108.518502
Condition,37.12357898,2386.704292
Condition,127.5550707,3806.081957
Condition,244.4994125,8095.573128
Condition,46.60869036,1959.77668
Condition,79.63126467,4116.182452
Condition,147.5709955,5887.842917
Condition,93.13714832,3091.131027
Condition,95.95266487,3940.36097
Condition,82.9035464,4980.74015
Condition,23.5743732,2576.405431
Condition,984.1364894,14928.88487
Condition,284.3014153,7439.621599
Condition,255.8449049,4000.361201
Condition,31.50414305,3750.206169
Condition,49.24907137,3417.475957
Condition,130.1240745,3734.375845
Condition,80.87961797,4162.972122
Condition,976.4311112,14268.35302
Condition,235.7502264,4681.873625
Condition,252.4144271,5473.612377
Condition,701.5607207,9017.555359
Condition,450.8690912,13909.42227
Condition,119.1063416,5175.389503
Control,111.0914186,3491.494699
Control,72.4258134,2897.960096
Control,36.31677898,2179.63099
Control,122.1928622,3417.475957
Control,80.63771188,3054.017798
Control,155.3985615,3278.187258
Control,72.99651878,2442.326917
Control,70.90444985,2646.994398
Control,94.10074832,3498.28381
Control,80.87961797,3096.53441
Control,61.99312122,2046.938028
Control,143.5367083,3327.83378
Control,35.71719706,2289.325996
Control,91.63973736,3410.630305
Condition,209.0839638,8416.060348
Condition,298.8586776,4859.936657
Condition,60.00441868,1484.843424
Condition,136.9997174,3555.232085
Condition,57.55951218,2763.620339
Condition,30.98151817,2821.834763
Condition,98.0057068,4097.393616
Condition,43.49688883,2442.326917
Condition,97.43593513,3391.242889
Condition,242.5220743,9170.472434
Condition,77.90938934,2634.974855
