Group,ANGPT2,SLC2A3
Condition,9.606638173,6674.520342
Condition,10.3428132,6263.85676
Condition,10.99902467,3621.274838
Condition,-1.864550863,7284.336679
Condition,7.036281218,7683.061743
Condition,-2.566336751,3027.919299
Condition,4.573925888,6527.508437
Condition,8.090341421,5081.717097
Condition,5.110360711,5753.608036
Condition,4.939295431,9053.36811
Condition,16.97478406,7493.823045
Condition,-0.801009036,4338.328528
Condition,-7.277277766,4389.326711
Condition,8.493419797,4992.979548
Condition,4.327065787,4483.683711
Condition,12.77873868,2907.835505
Condition,11.14956,5342.607519
Condition,10.39649848,5175.389503
Condition,0.321559797,5068.558595
Condition,0.40384,5641.735966
Condition,-2.663130457,-17.16412274
Condition,-2.588945787,6094.517553
Condition,13.45484843,10903.56778
Condition,2.702572792,5518.198046
Condition,-1.158638376,5610.13324
Condition,-5.645917157,3366.393285
Condition,-0.362305025,6059.412876
Condition,3.599754619,5081.717097
Control,1.486910761,4210.220899
Control,0.164292081,4847.052735
Control,3.666133807,4956.159022
Control,1.088326294,6969.138832
Control,7.882952792,3830.594199
Control,11.4243533,5626.118057
Control,3.573855431,6245.513337
Control,1.182933299,4968.63214
Control,-1.543528325,3135.710907
Control,5.725399492,7109.965157
Control,-2.03767665,5870.746965
Control,5.806590355,8515.616422
Control,-5.565749949,6527.508437
Control,2.087975939,4602.724016
Control,-0.563851066,6717.731333
Control,8.07213269,4647.074115
Control,12.79980995,4409.897518
Control,5.215893706,6167.569598
Control,0.087469036,3897.934207
Control,3.854107411,4810.646782
Control,2.607499188,4144.253191
Control,-0.170944162,8192.988395
Control,1.24707198,4162.972122
Control,4.807334416,6094.517553
Control,1.505460609,4569.783947
Control,-4.637957259,2477.32518
Control,7.059613503,7768.093158
Control,3.856561726,4125.573354
Control,3.347304772,5518.198046
Control,-3.392608426,7184.468012
Condition,-0.001560508,7414.977184
Condition,-3.221717462,8798.476404
Condition,2.844456041,5356.590077
Condition,2.41529665,5532.902987
Condition,-2.292270863,6761.244974
Condition,-1.799450254,4248.637299
Condition,-3.292058477,6206.795796
Condition,1.608830355,3838.465545
Condition,7.905423959,4248.637299
Condition,-2.316780305,3141.853579
Condition,0.039267614,5189.57058
Condition,12.70096914,3327.83378
Condition,-3.18217868,5887.842917
Condition,-0.415373503,4692.947625
Condition,-1.441110964,4229.450104
Condition,2.56082264,5489.025422
Condition,-4.610490254,3423.865611
Condition,2.236469137,7109.965157
Condition,2.020399594,6226.380017
Condition,-8.620825482,3498.28381
Condition,0.894355431,4348.831748
Condition,-5.645917157,5189.57058
Condition,-1.507330863,4786.348352
Condition,1.318857563,6590.93889
Condition,0.348286599,5578.877093
Condition,31.05058254,5563.158693
Condition,-4.402853807,7388.899256
Condition,-3.168172284,3657.702812
Condition,3.97781797,4409.897518
Condition,2.500867919,5428.766702
Condition,3.279222437,3340.925317
Condition,2.350224467,3974.465199
Condition,3.727722335,7797.917197
Condition,-3.513790051,5705.598159
Condition,-2.547472234,5563.158693
Condition,5.889688731,8034.256175
Condition,3.984558985,4359.815261
Condition,-4.372911878,4538.843536
Condition,3.534374619,8761.336727
Condition,-1.993948426,4528.393931
Condition,3.941150203,3491.494699
Condition,3.818610051,5641.735966
Condition,-3.346229137,4602.724016
Condition,-7.140005685,6131.232079
Condition,0.445023452,6382.967939
Condition,-0.416983249,4462.213548
Condition,6.612891371,7574.852797
Condition,-3.478421929,3512.336794
Condition,-3.833157462,4919.95048
Condition,0.771896853,4483.683711
Condition,5.830071574,3450.783636
Condition,-8.034100203,4883.976468
Condition,3.41405736,4451.836794
Condition,1.63360802,5272.695814
Condition,-4.85588599,7915.500613
Condition,10.61765452,5257.565351
Condition,0.043469949,5175.389503
Condition,-1.380437766,4420.4452
Condition,10.96945574,5458.714919
Condition,1.841522437,3347.302858
Condition,1.450951472,5838.031868
Condition,3.321398274,3606.024953
Condition,6.853018883,8550.803852
Condition,9.890417766,3606.024953
Condition,3.548278071,5161.412479
Control,0.286909036,4569.783947
Control,5.571258477,3914.447668
Control,-0.402349391,3562.517437
Control,3.51748335,4288.425033
Control,3.56149198,2646.994398
Control,2.303815228,4134.868184
Control,7.245090355,3308.667974
Control,10.43374964,3621.274838
Control,2.608382843,4559.67527
Control,-4.681542234,3391.242889
Control,5.431024264,5938.835115
Control,4.107945482,4968.63214
Control,8.231614975,3830.594199
Condition,-0.537858325,5257.565351
Condition,2.099238985,5161.412479
Condition,7.277329746,5428.766702
Condition,-0.181788122,7885.884308
Condition,0.993775533,5328.035855
Condition,3.424112183,3711.302518
Condition,3.208261726,6738.604326
Condition,8.790941218,13226.81624
Condition,9.747790761,3889.168356
Condition,2.853004061,2572.694842
Condition,9.467045584,5189.57058
Condition,6.358391675,5938.835115
Condition,-5.084058782,4613.148031
Condition,9.27434,4797.749196
Condition,8.86581198,5068.558595
Condition,-1.415755838,5610.13324
Condition,-4.304833503,9053.36811
Condition,2.465875127,5018.075422
Condition,-6.002736244,4907.469481
Condition,6.119625482,3223.590008
Condition,-1.894511168,7109.965157
Condition,4.337519086,6303.400238
Condition,-0.237830863,7360.741436
Condition,3.763023249,7520.159141
Condition,2.299678173,5803.369362
Condition,3.614810964,5838.031868
Condition,-5.722754264,6674.520342
Condition,0.429062843,5231.263847
Condition,-5.446041218,6282.76466
Condition,1.115661726,7133.716777
Condition,-0.816436142,7973.223872
Condition,-3.172169137,7234.878869
Condition,-2.395771472,7574.852797
Condition,41.18166091,4483.683711
Condition,1.386440305,7015.288171
Condition,-0.110489239,8126.963338
Condition,-2.201388832,4847.052735
Condition,3.461480203,5518.198046
Condition,34.70831635,5518.198046
Condition,3.481489442,7015.288171
Condition,-3.799456548,8449.865091
Condition,7.486455228,8065.724315
Condition,-0.193189949,9408.382915
Condition,2.259269746,8222.928116
Condition,-7.297228325,9449.00155
Condition,1.123086294,6006.362881
Condition,1.542203858,4956.159022
Condition,2.480024467,4430.839096
Condition,-8.448358934,5594.531696
Condition,-5.175453807,6527.508437
Control,-4.824541421,6282.76466
Control,4.813625685,5056.154516
Control,3.229624264,4692.947625
Control,-1.11383797,4859.936657
Control,5.817409797,3782.052731
Control,7.80992,6112.112275
Control,3.104411269,3583.764946
Control,3.540841929,6946.047533
Control,-1.454842132,3974.465199
Control,-3.280982843,5018.075422
Control,1.108349645,8722.53789
Control,0.032759594,7439.621599
Control,7.236375228,5231.263847
Control,9.782873706,3905.974297
Control,1.502849949,4328.232655
Control,1.354502234,5594.531696
Control,-1.055668579,5525.550516
Control,-0.879219492,5108.518502
Control,4.210441066,4895.365055
Control,4.14968802,3846.565534
Condition,2.338003096,4181.662528
Condition,-5.019635838,5356.590077
Condition,-4.63054269,4895.365055
Condition,-3.091958782,5887.842917
Condition,-4.36217731,5018.075422
Condition,-5.470943909,4681.873625
Condition,2.491123655,4670.227465
Condition,1.704190051,4762.178697
Condition,-4.10448934,4162.972122
Condition,5.254977766,5356.590077
Condition,-4.35939797,8319.53322
Condition,-2.359911066,4980.74015
Condition,2.675308782,7414.977184
Condition,1.588273706,6363.191376
Condition,0.047280761,8515.616422
Condition,-4.110889036,6131.232079
Condition,-0.650109746,3703.420262
Condition,1.371432183,8034.256175
Condition,-4.98617401,4359.815261
Condition,6.460760914,5770.093173
Condition,2.62343269,6696.37267
Condition,0.009510761,5753.608036
Control,-0.948726802,8416.060348
Control,6.814834416,5356.590077
Control,7.450020203,9534.565359
Control,16.21278843,5956.050714
Control,10.14115472,8515.616422
Control,1.291904569,6808.036432
Control,6.789287411,7159.165256
Control,2.188075584,6382.967939
Control,-2.348229746,6263.85676
Control,1.647607005,6466.388417
Control,-2.122319492,8065.724315
Control,1.971496294,6632.121448
Condition,4.51157736,16453.23317
Condition,8.343891066,18463.28044
Condition,-1.866135228,12295.53479
Condition,-7.169190457,15488.4077
Condition,-0.179718274,16360.59876
Condition,-2.452079594,17810.12964
Condition,-1.191066396,15654.97288
Condition,-5.721814416,20837.51746
Condition,5.484250051,8654.260945
Condition,-0.602997665,12598.94405
Condition,3.538178782,20305.64325
Condition,-2.95796731,17104.08726
Condition,-4.178293706,16179.31064
Condition,-4.739025076,17004.23069
Condition,-3.731470863,21102.82399
Condition,-5.327553401,21528.02338
Condition,0.259396041,18694.34017
Condition,2.758557919,20837.51746
Condition,0.680139594,17599.81537
Condition,3.248864467,8034.256175
Condition,7.563515939,18927.11087
Condition,-2.689701218,15907.7689
Condition,1.370962944,17704.21318
Condition,0.370314518,16910.96161
Condition,4.633253096,14849.85103
Condition,0.07992934,14268.35302
Condition,10.30593848,18348.53096
Condition,12.45094142,16179.31064
Condition,16.2847633,17300.58663
Condition,0.599995127,16267.48102
Condition,-13.20271046,19045.22021
Condition,3.933451168,21528.02338
Condition,3.665456345,22595.21287
Condition,1.618450254,6653.641877
Condition,-2.566944772,8618.42373
Condition,3.137350051,3423.865611
Condition,0.71307198,5108.518502
Condition,3.862283756,2386.704292
Condition,2.778998782,3806.081957
Condition,-4.09192467,8095.573128
Condition,4.05853198,1959.77668
Condition,2.650594619,4116.182452
Condition,-0.174565076,5887.842917
Condition,-8.186656548,3091.131027
Condition,0.284181827,3940.36097
Condition,1.38386132,4980.74015
Condition,-1.522672792,2576.405431
Condition,2.233501371,14928.88487
Condition,-1.881994619,7439.621599
Condition,-2.692892081,4000.361201
Condition,5.973192081,3750.206169
Condition,6.108160711,3417.475957
Condition,-4.345948426,3734.375845
Condition,4.103125076,4162.972122
Condition,-0.708924467,14268.35302
Condition,-0.703755635,4681.873625
Condition,-1.317036548,5473.612377
Condition,-0.91226802,9017.555359
Condition,-0.444414315,13909.42227
Condition,1.010400102,5175.389503
Control,1.69922802,3491.494699
Control,2.831573299,2897.960096
Control,0.435930051,2179.63099
Control,-3.581307208,3417.475957
Control,-4.400463756,3054.017798
Control,4.308789645,3278.187258
Control,-3.791604873,2442.326917
Control,1.196388528,2646.994398
Control,4.218695025,3498.28381
Control,2.12092934,3096.53441
Control,-0.037000609,2046.938028
Control,7.428662843,3327.83378
Control,-4.476689645,2289.325996
Control,5.992317056,3410.630305
Condition,5.004801929,8416.060348
Condition,3.170146396,4859.936657
Condition,2.38597665,1484.843424
Condition,6.124548426,3555.232085
Condition,5.685778274,2763.620339
Condition,7.263289848,2821.834763
Condition,1.545411371,4097.393616
Condition,2.088232234,2442.326917
Condition,8.749003756,3391.242889
Condition,-1.024396142,9170.472434
Condition,2.488097766,2634.974855
Condition,3.495387513,4106.312903
Condition,1.629912081,2878.538012
Condition,-1.510900711,4430.839096
Condition,3.058987208,2348.347979
Condition,8.085479391,2808.205552
Condition,2.346805787,2927.532837
Condition,5.617792183,5370.807019
Condition,3.090658173,3548.239531
Condition,1.849863553,3124.321583
Condition,-1.723786091,3814.551927
Condition,11.94458284,2104.721153
Condition,4.034304365,4430.839096
Condition,6.416775127,4559.67527
Condition,-0.509750558,5689.084826
Condition,2.898865381,4348.831748
Condition,5.713978071,5216.855258
Condition,-5.291911218,3141.853579
Condition,2.096,4008.848787
Condition,-4.484696954,6717.731333
Condition,4.253180406,5854.158568
Condition,2.706749137,5231.263847
Condition,0.827386904,3846.565534
Condition,-7.018291168,3423.865611
Condition,5.389825482,2799.252445
Condition,5.133255228,10154.83618
Condition,-3.130245888,2304.495281
Condition,1.322697462,3650.608849
Condition,-0.169171117,3742.180729
Condition,-3.513444416,2603.286279
Condition,0.118211269,4727.139977
Condition,-4.541581421,3711.302518
Condition,0.097118832,5626.118057
Condition,-5.559423553,4238.731474
Condition,-3.986908477,2607.191356
Condition,-5.544572081,3822.245595
Condition,0.23115665,3457.851365
Condition,-9.768146294,4219.882983
Condition,1.127397766,6403.909575
Condition,0.644294619,4338.328528
Condition,-2.884817868,1984.735615
Condition,-3.773456751,3284.099725
Condition,0.048597056,4162.972122
Condition,9.670705178,4389.326711
Condition,-5.942369746,4258.619092
Condition,-2.021564365,3657.702812
Condition,0.685704975,3211.94864
Condition,-7.332202234,3391.242889
Condition,6.986913807,3359.897131
Condition,-0.608821218,3205.818877
Condition,-1.545580812,2992.433134
Condition,1.696681827,3423.865611
Condition,1.56903797,2576.405431
Condition,2.431004569,3211.94864
Condition,-1.732415533,3450.783636
Condition,5.594506802,3271.909655
Condition,-2.45280401,3012.57289
Condition,-0.30709599,2510.080593
Condition,-1.366121117,4505.99578
Condition,3.615823299,2310.542582
Control,1.69922802,3491.494699
Control,2.831258122,2897.960096
Control,0.435653198,2179.63099
Control,-3.580432487,3417.475957
Control,-4.400177766,3054.017798
Control,4.308789645,3278.187258
Control,-3.791604873,2442.326917
Control,1.196388528,2646.994398
Control,4.218695025,3498.28381
Control,2.12092934,3096.53441
Control,-0.037000609,2046.938028
Control,7.428662843,3327.83378
Control,-4.476689645,2289.325996
Control,5.992317056,3410.630305
Control,-2.755290558,8253.368902
Control,3.432092792,8832.934658
Control,-4.678697665,8160.486822
Control,-1.381830051,3211.94864
Control,1.022453909,7439.621599
Control,1.914525076,6112.112275
Control,1.890459391,6023.47592
Control,-11.20667777,8654.260945
Control,1.207168934,5504.059572
Control,-1.978342538,4420.4452
Control,0.709422234,9619.442456
Control,5.523120508,4370.118355
Control,-6.490892183,3048.810211
Control,-3.192062741,5300.208596
Control,-6.393623553,5594.531696
Control,0.47874802,5887.842917
Control,-0.212839594,4144.253191
Control,1.681686091,5005.334199
Control,0.582784264,9366.906072
Control,4.908131878,4774.723301
Control,4.776397766,7548.444225
